iter	Passed	Remaining
708	10046	131654
709	10058	131614
710	10072	131596
711	10085	131568
712	10099	131552
713	10110	131497
714	10126	131499
715	10139	131469
716	10153	131454
717	10167	131444
718	10178	131380
719	10191	131358
720	10205	131338
721	10219	131326
722	10233	131305
723	10246	131281
724	10257	131224
725	10271	131214
726	10285	131197
727	10299	131172
728	10311	131140
729	10324	131103
730	10338	131087
731	10354	131094
732	10367	131069
733	10380	131045
734	10393	131016
735	10406	130984
736	10420	130964
737	10434	130950
738	10447	130930
739	10459	130888
740	10471	130845
741	10486	130837
742	10500	130831
743	10514	130805
744	10527	130786
745	10538	130731
746	10552	130709
747	10566	130690
748	10578	130657
749	10589	130608
750	10602	130581
751	10617	130575
752	10631	130555
753	10646	130548
754	10659	130529
755	10671	130488
756	10686	130484
757	10700	130471
758	10714	130452
759	10728	130435
760	10740	130393
761	10751	130349
762	10766	130339
763	10781	130334
764	10795	130319
765	10809	130305
766	10820	130257
767	10833	130229
768	10846	130200
769	10861	130193
770	10874	130168
771	10886	130127
772	10899	130104
773	10912	130075
774	10925	130046
775	10938	130016
776	10951	129990
777	10964	129970
778	10978	129949
779	10991	129930
780	11003	129889
781	11016	129854
782	11029	129830
783	11043	129815
784	11056	129786
785	11066	129729
786	11081	129722
787	11095	129706
788	11109	129699
789	11124	129688
790	11137	129669
791	11157	129718
792	11171	129704
793	11182	129660
794	11196	129640
795	11210	129626
796	11223	129596
797	11237	129583
798	11249	129543
799	11263	129531
800	11278	129525
801	11291	129500
802	11305	129480
803	11315	129428
804	11329	129407
805	11343	129392
806	11358	129387
807	11372	129377
808	11386	129357
809	11397	129312
810	11410	129288
811	11424	129268
812	11438	129259
813	11452	129239
814	11463	129197
815	11477	129178
816	11491	129162
817	11503	129129
818	11518	129124
819	11529	129076
820	11543	129062
821	11557	129048
822	11571	129035
823	11585	129020
824	11597	128977
825	11610	128953
826	11624	128936
827	11638	128921
828	11653	128916
829	11667	128900
830	11679	128869
831	11691	128831
832	11705	128812
833	11718	128793
834	11733	128792
835	11748	128784
836	11758	128730
837	11773	128717
838	11786	128694
839	11799	128668
840	11811	128638
841	11824	128604
842	11837	128585
843	11851	128567
844	11864	128545
845	11878	128524
846	11894	128535
847	11906	128503
848	11920	128491
849	11934	128467
850	11948	128456
851	11963	128458
852	11980	128469
853	11993	128446
854	12006	128416
855	12019	128393
856	12032	128371
857	12045	128348
858	12058	128321
859	12071	128291
860	12087	128299
861	12102	128301
862	12120	128327
863	12135	128326
864	12151	128324
865	12166	128321
866	12181	128322
867	12200	128355
868	12214	128340
869	12228	128326
870	12243	128328
871	12258	128325
872	12272	128304
873	12286	128289
874	12301	128285
875	12315	128267
876	12327	128240
877	12341	128221
878	12354	128199
879	12367	128170
880	12381	128153
881	12393	128126
882	12407	128110
883	12418	128062
884	12433	128062
885	12447	128038
886	12461	128025
887	12475	128013
888	12488	127992
889	12499	127945
890	12513	127926
891	12527	127916
892	12541	127898
893	12555	127889
894	12569	127868
895	12581	127832
896	12595	127821
897	12607	127792
898	12620	127766
899	12632	127731
900	12646	127715
901	12664	127737
902	12677	127712
903	12691	127701
904	12706	127693
905	12721	127687
906	12734	127667
907	12745	127620
908	12758	127597
909	12772	127581
910	12785	127559
911	12797	127522
912	12811	127516
913	12825	127498
914	12838	127470
915	12852	127454
916	12863	127414
917	12876	127390
918	12891	127383
919	12904	127357
920	12918	127343
921	12928	127293
922	12942	127282
923	12955	127260
924	12970	127255
925	12984	127238
926	12995	127195
927	13007	127161
928	13021	127143
929	13034	127124
930	13048	127111
931	13060	127069
932	13073	127053
933	13086	127029
934	13099	127001
935	13112	126981
936	13127	126971
937	13139	126936
938	13153	126921
939	13166	126904
940	13180	126884
941	13193	126866
942	13206	126838
943	13219	126818
944	13233	126804
945	13247	126790
946	13257	126738
947	13271	126721
948	13286	126716
949	13298	126687
950	13311	126665
951	13323	126625
952	13336	126608
953	13349	126582
954	13364	126576
955	13376	126548
956	13388	126514
957	13402	126494
958	13416	126482
959	13430	126466
960	13441	126427
961	13452	126387
962	13465	126366
963	13479	126347
964	13493	126335
965	13503	126285
966	13516	126259
967	13529	126242
968	13544	126232
969	13557	126210
970	13569	126177
971	13585	126182
972	13598	126161
973	13611	126139
974	13625	126124
975	13638	126098
976	13650	126070
977	13664	126051
978	13678	126038
979	13690	126007
980	13702	125980
981	13715	125953
982	13729	125941
983	13743	125928
984	13756	125907
985	13767	125864
986	13781	125850
987	13795	125837
988	13810	125833
989	13823	125810
990	13834	125767
991	13846	125736
992	13861	125726
993	13875	125713
994	13888	125695
995	13900	125659
996	13912	125634
997	13925	125607
998	13939	125591
999	13952	125569
1000	13964	125545
1001	13979	125532
1002	13992	125513
1003	14006	125498
1004	14019	125474
1005	14030	125434
1006	14044	125426
1007	14059	125416
1008	14072	125401
1009	14087	125388
1010	14097	125344
1011	14111	125327
1012	14125	125314
1013	14137	125289
1014	14151	125272
1015	14168	125282
1016	14184	125289
1017	14203	125318
1018	14219	125326
1019	14232	125303
1020	14245	125279
1021	14259	125264
1022	14273	125256
1023	14287	125238
1024	14301	125225
1025	14314	125201
1026	14325	125162
1027	14339	125147
1028	14352	125128
1029	14367	125120
1030	14380	125100
1031	14392	125068
1032	14405	125048
1033	14419	125034
1034	14434	125027
1035	14447	125008
1036	14459	124976
1037	14473	124958
1038	14486	124940
1039	14500	124927
1040	14512	124899
1041	14525	124875
1042	14542	124885
1043	14555	124866
1044	14571	124867
1045	14583	124841
1046	14597	124828
1047	14611	124810
1048	14623	124777
1049	14635	124753
1050	14650	124745
1051	14664	124729
1052	14679	124726
1053	14691	124693
1054	14705	124680
1055	14719	124670
1056	14733	124652
1057	14745	124629
1058	14756	124586
1059	14770	124573
1060	14784	124559
1061	14799	124552
1062	14811	124527
1063	14822	124482
1064	14837	124482
1065	14850	124463
1066	14864	124445
1067	14877	124427
1068	14889	124391
1069	14902	124371
1070	14914	124342
1071	14928	124330
1072	14940	124303
1073	14952	124271
1074	14966	124256
1075	14981	124249
1076	14994	124232
1077	15008	124216
1078	15019	124177
1079	15032	124160
1080	15046	124145
1081	15060	124129
1082	15072	124097
1083	15083	124060
1084	15096	124044
1085	15111	124035
1086	15125	124023
1087	15139	124011
1088	15151	123983
1089	15166	123976
1090	15180	123959
1091	15193	123937
1092	15207	123923
1093	15218	123890
1094	15232	123875
1095	15246	123860
1096	15259	123841
1097	15273	123825
1098	15289	123835
1099	15300	123798
1100	15314	123780
1101	15328	123766
1102	15340	123741
1103	15352	123712
1104	15364	123680
1105	15377	123660
1106	15392	123656
1107	15406	123638
1108	15418	123614
1109	15430	123586
1110	15444	123568
1111	15457	123546
1112	15471	123534
1113	15483	123505
1114	15496	123487
1115	15510	123471
1116	15524	123458
1117	15537	123440
1118	15548	123401
1119	15563	123394
1120	15576	123376
1121	15591	123369
1122	15605	123354
1123	15621	123357
1124	15635	123345
1125	15646	123312
1126	15661	123300
1127	15676	123300
1128	15690	123285
1129	15704	123269
1130	15718	123260
1131	15729	123227
1132	15743	123211
1133	15758	123202
1134	15771	123186
1135	15784	123167
1136	15797	123141
1137	15810	123122
1138	15824	123107
1139	15838	123094
1140	15852	123079
1141	15863	123050
1142	15875	123014
1143	15889	123000
1144	15902	122985
1145	15916	122973
1146	15928	122944
1147	15941	122921
1148	15954	122899
1149	15967	122883
1150	15981	122867
1151	15994	122849
1152	16007	122824
1153	16021	122812
1154	16035	122796
1155	16047	122769
1156	16059	122740
1157	16075	122745
1158	16089	122730
